"EP Code:n","LOP A/C No:n","A/C Name","Reported BI Name","Reported TO Name","BI/Omni Code","BI Name","Mother BI/Omni Code","BI TO Code","BI TO Name"
"CFB","75923","XXX","XXX","XXX","HED_0954","XXX","","BIT_0799","XXX"
"CFB","75944","XXX","XXX","XXX","HED_0955","XXX","","BIT_0799","XXX"
"CFB","7P6PM","XXX","XXX","XXX","HED_0673","XXX","","BIT_0157","XXX"
"CFB","7P73T","XXX","XXX","XXX","HED_0674","XXX","","BIT_0157","XXX"
"CFB","7P762","XXX","XXX","XXX","HED_0675","XXX","","BIT_0157","XXX"
"CFB","7P7VN","XXX","XXX","XXX","HED_1026","XXX","","BIT_0064","XXX"
"CFB","7PY7R","XXX","XXX","XXX","HED_0914","XXX","","BIT_1000","XXX"
"CFB","7PYDG","XXX","XXX","XXX","HED_0951","XXX","","BIT_0999","XXX"
"CFB","CFB_FUAIS1","XXX","XXX","XXX","HED_0125","XXX","","BIT_0091","XXX"
"CFB","CFB_FUDPC1","XXX","XXX","XXX","HED_0001","XXX","","BIT_0091","XXX"
"CFB","CFB_FUMSB1","XXX","XXX","XXX","INS_0358","XXX","","BIT_0091","XXX"
"CFB","CSFB-2NWD4","XXX","XXX","XXX","HED_0157","XXX","","BIT_0147","XXX"
"CFB","CZ205H-2EFOX","XXX","XXX","XXX","HED_0075","XXX","OMN_0026","BIT_0165","XXX"
"CFB","EDE61163","XXX","XXX","XXX","HED_1069","XXX","","","XXX"
"CFB","M&G INVESTMENT MANAGEMENT LIMITED","XXX","XXX","XXX","INS_1166","XXX","","","XXX"
"CFB","PAOCM","XXX","XXX","XXX","HED_0547","XXX","","BIT_0860","XXX"
"CFB","PAODM","XXX","XXX","XXX","HED_0585","XXX","","","XXX"
"CFB","PAPEA","XXX","XXX","XXX","INS_0887","XXX","","BIT_0855","XXX"
"CFB","PASEG","XXX","XXX","XXX","HED_0599","XXX","","BIT_0859","XXX"
"CFB","PHHKH","XXX","XXX","XXX","GPR_0004","XXX","","","XXX"
"CFB","PHHKH-A","XXX","XXX","XXX","GPR_0004","XXX","","","XXX"
"CFB","PHHKH-H","XXX","XXX","XXX","GPR_0004","XXX","","","XXX"
"CFB","PHHKH-HG/T","XXX","XXX","XXX","GPR_0004","XXX","","","XXX"
"CFB","PHHKH-T","XXX","XXX","XXX","GPR_0004","XXX","","","XXX"
"CFB","PHK-UDFG4","XXX","XXX","XXX","OMN_0159","XXX","OMN_0087","BIT_0091","XXX"
